address,name,online_order,book_table,rate,votes,phone,location,rest_type,dish_liked,cuisines,approx_cost(for two people),listed_in(type)
"309, 15th Cross, 100 Feet road, 5th Phase, JP Nagar, Bangalore",Bottle Breacher,No,Yes,4.1,1187.0,+91 9482512009,JP Nagar,"Casual Dining, Pub","Chicken Biryani, Mocktails, Pizza, Cocktails, Beer, Pork Ribs, Nachos","Italian, Continental",1200.0,Delivery
"281, 2nd Floor, 15th Cross, 5th Phase, JP Nagar, Bangalore",Sattvam,No,No,4.3,353.0,"080 26595000
+91 9483275526",JP Nagar,Casual Dining,"Noodles, Veg Buffet, Mango Juice, White Pasta, Panipuri, Thin Crust Pizza, Dal Makhani","North Indian, South Indian",1200.0,Delivery
"55, Goenka Chambers, Jeevan Griha Colony, 19th Main, Phase 2, JP Nagar, Bangalore",Kesariya,No,Yes,4.2,1212.0,080 49653516,JP Nagar,Casual Dining,"Kheer, Fruit Cream, Panipuri, Rajasthani Thali, Kulfi, Shrikhand, Dal Bati",Rajasthani,1200.0,Delivery
 ('Rated 4.0', 'RATED\n  Life saver for people like me who cant cook - Good quality and total VFM.'), ('Rated 1.5', 'RATED\n  Its too oily food and it was served cold...nothing good was there to eat... Avoid it ant any cost if you are a foodie. Please improve the quality of the food. Everything else was ok'),,, ('Rated 4.0', 'RATED\n  Once up on a time this was our regular adda of dining, hangout and home delivery point. As our office was located next to Gopalan mall, this restaurant was in our walk-able distance. If you want to reach here by car, probably that could be challenge,, ('Rated 3.5'
"47/1, 9th Main,1st Cross, Miniforest, Phase 3, JP Nagar, Bangalore",Checkpost,Yes,No,4.1,952.0,"00 08043712184
+91 9880439859",JP Nagar,Casual Dining,"Filter Kaapi, Coffee, Egg Curry, Neer Dosa, Kadala Curry, Ghee Idli, Noodles","South Indian, Seafood, Rolls, Beverages",400.0,Delivery
"726/A, 24th Main Road, 6th Phase, JP Nagar, Bangalore",Nandhini Paradise,No,No,3.8,915.0,"+91 9742274049
+91 8040355555",JP Nagar,Casual Dining,"Ghee Rice, Hyderabadi Biryani, Butter Naan, Chicken Guntur, Thali",North Indian,600.0,Delivery
"8, 19th Cross, 7th Main, BTM Layout, 2nd Stage, BTM, Bangalore",New Kabab Plaza,Yes,No,3.7,135.0,+91 8861117766,BTM,Casual Dining,"Shawarma Roll, Chicken Grill, Tandoori Chicken, Chicken Wings, Ghee Rice, Pulpy Grape Juice","North Indian, Chinese",500.0,Delivery
"312, 2nd Floor, 15th Cross, 100 Feet Road, 5th Phase, JP Nagar, Bangalore",Coastal Mama,No,Yes,4.1,466.0,"080 41723334
080 41733334",JP Nagar,Casual Dining,"Murgh Ghee Roast, Neer Dosa, Sea Food, Fish, Prawn Ghee Roast, Prawn Curry, Buttermilk","Konkan, Mangalorean, North Indian, Seafood",700.0,Delivery
 ('Rated 4.0', 'RATED\n  Been here once... Ordered a biryani and kabab takeaway and both of them tasted excellent. A nice small value for money restaurant. You may wish to prefer a takeaway though!'), ('Rated 2.5', 'RATED\n  Small place. Should work a little on hygiene and variety of food. Chicken dishes are good. Prices are easy on pockets. No good parking space nearby.'),,, ('Rated 5.0', 'RATED\n  It is the best outlet with a fantastic ambience at JP NAGAR Bangalore... The staff is friendly and the rates are very reasonable especially for a costly city like Bangalore... The food is very tasty and you will satisfy your hunger and your wallet for sure.... Do try it out guys,...i give it a thumbs up :)'), ('Rated 4.5'," """"RATED\n  It's a small but well maintained and neat restaurant. Value for money. Menu is limited but what they serve is tasty. I ordered the 99 Rs Combo which consisted of Biriyani Rice",, ('Rated 4.0'
"1260 SY 35/4 SJR Tower's, JP Nagar 7th Phase, 24th Main Puttanhalli, JP Nagar, Bangalore",Rara Avis,No,No,3.9,61.0,080 43334321,JP Nagar,"Takeaway, Delivery",Chicken Curry,"Kerala, Seafood, Biryani, Desserts",400.0,Delivery
"17, Opposite to Royal High School, 24th Main, Brigade Millennium Road, JP Nagar, Bangalore",Baskin Robbins,No,No,3.9,86.0,"080 40944545
+91 9845200031",JP Nagar,Dessert Parlor,Mississippi Mud,Ice Cream,250.0,Delivery
"312, 15th cross, 5th phase, JP Nagar, Bangalore",Royal Chef Naati Oota,No,No,4.0,193.0,"080 26589000
+91 9980074663",JP Nagar,Casual Dining,"Chicken Biryani, Donne Biryani, Chilli Chicken, Mutton Chops, Paratha, Mutton Biryani, Nati Biryani","South Indian, Biryani, North Indian",500.0,Delivery
"Eden Park7, 8 Doresani Palya, Near Kalyani Magnum, Opposite Oracle, 5th Phase, JP Nagar, Bangalore",Flow - Terrace Bar & Grill,No,No,3.8,82.0,+91 9886095845,JP Nagar,"Lounge, Bar","Cocktails, Pizza, Chicken Tikka, Fish, Burgers, Nachos, Almond Flakes","Pizza, Continental, North Indian, Chinese",1000.0,Delivery
"5, SSAR Towers, Opposite Royal School, 24th Main Road, 5th Phase, JP Nagar, Bangalore",Sree Krishna Kafe,No,No,3.9,115.0,+91 8792556140,JP Nagar,Quick Bites,"Vada, Pongal, Podi Idli, Masala Dosa, Podi Dosa, Idiyappam, Rice",South Indian,200.0,Delivery
"20, 6th Cross, 4th A Main, N.S Palya, Dollors Colony, BTM 2nd Stage, Bangalore, BTM, Bangalore",Dilish Kitchens,No,No,3.7,28.0,+91 7353133336,BTM,Casual Dining,Biryani,"North Indian, Chinese",500.0,Delivery
"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",Daily Bread,No,No,3.2,63.0,080 64526672,JP Nagar,"Bakery, Quick Bites","Pasta, Sandwiches, Cappuccino, Sandwich","Bakery, Fast Food, Italian",600.0,Delivery
"29th Main Road, EWS Colony, Stage 2 Bengaluru, Karnataka",Owl's Kitchen,No,No,3.1,44.0,"080 45133111
+91 9900311141",BTM,Delivery,Brownie,"North Indian, Chinese",500.0,Delivery
 ('Rated 4.5', 'RATED\n  I have visited the restaurant couple of days ago.. tried north indian food. it was very tasty. service is good n quick. Must try non veg food. A good place to eat near Brigade Millennium chowk..'), ('Rated 4.5', 'RATED\n  Indian gravy for starving stomach and Timmie dessert loved the food and Bruno a must try reverie would love to visit again...... Service and ambience was peaceful for family the place would be really good....'),,, ('Rated 1.0'," """"RATED\n  Very very bad experience..\nService very bad.. food also not good..\nWe order curd rice at end.. they didn't put much curd"," instead of put more oil in ???????.. Totally curd rice become oil rice.. Akshaya Gowda"""")", ('Rated 1.0', 'RATED\n  Worst place to have dinner... the food is too spicy or it is too bland... we had ordered fried rice and it was so badly made that we could have only two spoon'),, he gave out a computerised bill
 ('Rated 4.0', 'RATED\n  I ordered the food home .. and the food quality was good. Biriyani was good.'), ('Rated 3.0'," """"RATED\n  A friend recommended this place. But",,, a little pricey, cramped place," prefer home delivery... An OK place for bachelors."""")", ('Rated 1.5'," """"RATED\n  Not a great place. The food is not that great and is over priced. Quantity and quality of the food is a disaster. Tandoor items should be renamed 'black tandoor'. What you ask is not what you get. The kadai veg has so much of oil that you don't feel the vegetables. Delivery time is really bad. It's a total NO No."""")",," """"RATED\n  We went there for Lunch. It's a Chinese & Tandoor place. We did not try any Chinese items.\n\nWe had below items.\nÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x95 Chicken Biryani (Good"
"910, 5th Cross Road, Vijaya Bank Layout, Bilekahalli,BTM, Bangalore",Namana Garden,No,No,2.6,75.0,080 41625637,BTM,Quick Bites,Vada,"North Indian, South Indian, Chinese, Street Food",400.0,Delivery
"114/512, Kothanur Main Road, 7th Phase, JP Nagar, Bangalore",Andhra Grills,No,No,3.0,55.0,"+91 9844392143
+91 9739188800",JP Nagar,Casual Dining,"Andhra Meal, Thali","Andhra, North Indian, Biryani",800.0,Delivery
"31, 7th Phase, JP Nagar, Bangalore",Petoo,No,No,3.7,48.0,+91 9108829009,JP Nagar,Casual Dining,"Jal-jeera, Paratha, Chaat","North Indian, Fast Food, Street Food",800.0,Delivery
"487, Ground Floor, 16th Cross, 4th Phase, JP Nagar, Bangalore",Night Panda,No,No,2.9,39.0,"+91 9066783118
080 41123861",JP Nagar,"Takeaway, Delivery","Burgers, Chicken Biryani","Fast Food, North Indian, Chinese",500.0,Delivery
"795, 8th Main, 3rd Phase, JP Nagar, Bangalore",Kamat Swaad,Yes,No,3.9,193.0,"+91 9686111608
+91 9448452341",JP Nagar,Casual Dining,"Jowar Roti, Akki Rottis, Buttermilk, Idli, Thali, Vada, Bajji","South Indian, North Indian, Chinese",400.0,Delivery
"26/2, Dodda Kammanahalli, Bannerghatta Road, Bangalore",Ishta Cafe,Yes,No,3.9,63.0,+91 9972314007,Bannerghatta Road,Quick Bites,"Burgers, Masala Dosa, Millet Pizza, Falafel Wrap","Pizza, South Indian, Healthy Food",200.0,Delivery
"1346, Marenahalli Road, KSRTC Layout, Near Bangalore Central Mall, 2nd Phase, JP Nagar, Bangalore",Cafe Mist,Yes,No,3.8,186.0,"+91 9742407147
+91 9538519419",JP Nagar,Cafe,"Barbecue Chicken Burger, Coffee, Ice Tea, Peri Peri Chicken, Pasta, Maggi, Nachos","Cafe, American, Continental, Italian",500.0,Delivery
"Bannerghatta Road, Bangalore",Fat Chef Biryani Wale,Yes,No,3.3,28.0,"+91 9986712348
+91 9980902935",Bannerghatta Road,"Takeaway, Delivery","Biryani, Gulab Jamun","Biryani, North Indian",400.0,Delivery
"31, Near Corporation Bank, 60 Feet Road, Panduranga Nagar, Bannerghatta Road, Bangalore",Natural Ice Cream,No,No,4.3,423.0,080 42192049,Bannerghatta Road,Dessert Parlor,"Chocolate Almond, Tender Coconut Ice Cream, Choco Almond, Coffee Walnut, Custard Apple","Ice Cream, Desserts",150.0,Desserts
"7, Near RTO, Opposite Nano Hospital, 80 Feet Road, Bannerghatta Road, Bangalore",Amma's Pastries,No,No,4.0,102.0,+91 9590607750,Bannerghatta Road,Bakery,Cheesecake,Bakery,400.0,Desserts
"Opposite Meenakshi Mall, Hulimavu, Bannerghatta Road, Bangalore",Anand Sweets and Savouries,No,No,4.1,131.0,"080 26488992
080 40906629",Bannerghatta Road,Sweet Shop,"Chole Bhature, Thali, Papdi Chaat, Shahi Paneer","Mithai, Street Food",400.0,Desserts
"989, Ambika Corner, DC Road, Off Bannerghatta Road, Bilekahalli, Bannerghatta Road, Bangalore",Bread Crumbs Bakery,No,No,4.0,164.0,080 49652927,Bannerghatta Road,Bakery,"Samosa, Egg Puff, Paneer Puff, Chocolate Truffle","Desserts, Bakery",250.0,Desserts
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9,102.0,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450.0,Desserts
"1 B, Krishnamurthy Complex, Kodichikkanahalli Road, Bannerghatta Road, Bangalore",Cakebuy,Yes,No,3.9,70.0,+91 8496934114,Bannerghatta Road,Dessert Parlor,Chocolate Truffle,Desserts,350.0,Desserts
"71, 1st Main Road, Panduranga Nagar, Doresanipalya Ward, Bannerghatta Road, Bangalore",Polar Bear,Yes,No,3.9,188.0,080 49653453,Bannerghatta Road,Dessert Parlor,"Sandwiches, Hot Chocolate Fudge, Brownie, Sandwich","Ice Cream, Desserts, Beverages, Sandwich",400.0,Desserts
"Mahadheshwara Swami Nilaya, 1/2, 1st Floor, DLF Circle Main Road, Near Akshaynagar, Yelenahalli, Bannerghatta Road, Bangalore",World on a Swirl,No,No,3.8,46.0,+91 9986075232,Bannerghatta Road,"Dessert Parlor, Quick Bites",Courteous Staff,"Ice Cream, Desserts, Rolls",300.0,Desserts
"Royal Meenakshi Mall, Bannerghatta Road, Bangalore",Waffle Walle,Yes,No,4.4,677.0,+91 8105902392,Bannerghatta Road,Kiosk,"Liege Waffle, Vanilla Ice Cream, Chocolate Waffles, Chocolate Drink, Crunchy Waffles, Chocolate Icecreams, Belgian Waffles","Desserts, Belgian, Beverages",500.0,Desserts
"3rd Floor, Food Court, Vega City Mall, Srinivas Industrial Estate, Bannerghatta Road, Bangalore",WAFL,Yes,No,3.9,40.0,+91 8951725759,Bannerghatta Road,Food Court,Waffles,"Cafe, Fast Food, Desserts, Beverages",400.0,Desserts
"3, Third Floor, Vega City Mall, Bannerghatta Road, Bangalore",Cold Stone Creamery,Yes,No,3.9,99.0,080 67922488,Bannerghatta Road,Dessert Parlor,"Brownie, Chocolate Devotion, Icecream Cake, Cotton Candy Ice Cream, Coffee, Strawberry Smoothie","Ice Cream, Desserts",400.0,Desserts
"Arjun Aura Apartment, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Flavorsome Bakes,No,No,4.0,93.0,"+91 9739132229
+91 9900766188",Bannerghatta Road,"Takeaway, Delivery","Cup Cake, Pineapple Cake","Bakery, Desserts",800.0,Desserts
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8,69.0,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700.0,Desserts
"161 A, First Floor, Vinayaka Nagar, Bannerghatta Road, Bangalore",Sweet Truth,Yes,No,4.1,41.0,+91 7710055553,Bannerghatta Road,Delivery,"Cheesecake, Chocolate Decadence, Pancakes, Chocolate Fantasy, Chocolava Cake, Chocolate Cake, Red Velvet Cake","Bakery, Desserts",500.0,Desserts
"1065 B, 5th Cross, Vijaya Bank Layout, Bilekahalli, Bannerghatta Road, Bangalore",Apsara Ice Cream,No,No,4.0,65.0,04 141717410,Bannerghatta Road,Dessert Parlor,Panipuri,"Ice Cream, Desserts",200.0,Desserts
"39, 15th Cross, Besides HDFC Bank, 4th Phase, JP Nagar, Bangalore",Two Friends Cauldron,Yes,Yes,4.1,448.0,080 49652809,JP Nagar,Casual Dining,"Butter Beer, Pasta, Fries, Burgers, Exotic Veg Pizza, Potato Wedges, Veggie Pizza","Continental, Italian, American",700.0,Desserts
"5th Cross Road, Dollar Layout, 3rd Phase, JP Nagar, Bangalore",Slate Cafe,Yes,No,4.1,46.0,+91 8040923832,JP Nagar,Cafe,"Pasta, Sandwiches","Cafe, Sandwich, Burger",600.0,Desserts
"103/25, 2nd Main Road, Puttenhalli, 7th Phase, JP Nagar, Bangalore",Dream a Dozen,Yes,No,4.3,132.0,+91 8861739269,JP Nagar,Delivery,"Cup Cake, Cake Pops, Chocolate Truffle Cake, Brownie","Bakery, Desserts",300.0,Desserts
"10, Ground Floor, 24th Main, Ayodhya Nagar, 5th Phase, JP Nagar, Bangalore",Roll Over,Yes,No,4.1,237.0,"+91 9901999868
+91 9986034959",JP Nagar,Dessert Parlor,"Rolls, Ice Cream Roll, Fries, Chocolate Icecreams, Banana Nutella, Chocolate Ball, Waffles","Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500.0,Desserts
"290, 15th Cross, 5th phase, JP Nagar, Bangalore",Stoned Monkey,Yes,No,3.9,239.0,+91 9972710694,JP Nagar,Dessert Parlor,"Coffee, Waffles, Hot Chocolate Fudge, Cheesy Garlic Bread","Desserts, Ice Cream",500.0,Desserts
"8, 15th Main, 5th Phase, JP Nagar, Bangalore",TAB - Take A Break,No,No,4.1,521.0,"+91 9535133088
+91 9448157110",JP Nagar,Cafe,"Pizza, Salads, Pasta, Sandwiches, Veg Quiche, Coffee, Tea","Cafe, Continental, Italian",550.0,Desserts
"312, 15th Cross, 5th Phase, JP Nagar, Bangalore",Cream Stone,No,No,4.0,319.0,080 26592229,JP Nagar,Dessert Parlor,"Paan Ice Cream, Chocolava, Nutella Brownie, Ferrero Rocher, Waffles, Hot Chocolate Fudge, Chocolate Icecreams","Desserts, Beverages",500.0,Desserts
"1231/35/2, 24th Main, Opposite Brigade Palm Springs, 7th Phase, JP Nagar, Bangalore",Berrylicious,Yes,No,3.8,89.0,+91 8884511222,JP Nagar,Dessert Parlor,"Macaroon, Brownie Sundae, Waffles","Ice Cream, Desserts, Bakery",400.0,Desserts
"135/5, 15th Cross, 3rd Stage, JP Nagar, Bangalore",Daily Bread,No,No,3.2,63.0,080 64526672,JP Nagar,"Bakery, Quick Bites","Pasta, Sandwiches, Cappuccino, Sandwich","Bakery, Fast Food, Italian",600.0,Desserts
"67, 15th Cross, 3rd Phase, JP Nagar, Bangalore",Calvin's,No,No,2.9,231.0,"080 40928823
+91 8970112299",JP Nagar,Dessert Parlor,"Pasta, Sandwiches, Club Sandwich, Cottage Cheese Steak, Waffles, Chicken Lasagne, Chicken Burger","Desserts, Italian, Pizza",800.0,Desserts
"the prices a little high but you can use Zomato discounts to make it affordable.\n\nThey are using very good quality of packaging material so you can directly put it into your microwave(if u have one)."""")", ('Rated 3.0', 'RATED\n  Ordered whole wheat veg hakka noodles for evening indulgence. As tasty as it looked by sight," it was as bland in taste. I was thoroughly disappointed as eat.fit has such a good reputation. Besides making the food healthy surely does not mean to make it so tasteless. The 3 is only for the good packaging and tasty """"looking"""" food.')",,, the food really is what it claims to be. It's extremely healthy/hygienic and equally tasty. You don't feel full or bloated after eating which you might feel if you eat from other restaurants.\nAgreed, Prices are on higher side. But," it's worth if you're really looking for some healthiest options."""")", ('Rated 3.0', 'RATED\n  Ordered the fruit bowl and the mangalorean chicken curry with brown rice. Tasty no doubt. But they need to pay a little more attention to the quality of the ingredients - the grapes could have been seedless,, neatly packed and the top ups with each meal is something I look forward to too. And yes
"Arakere Gate, Next to HSBC, Opposite Reliance Mart, Bannerghatta Road, Bangalore",Hyderabad Biryaani House,Yes,No,3.6,796.0,"+91 9845699901
+91 9986438789",Bannerghatta Road,Casual Dining,"Hyderabadi Biryani, Chicken Biryani, Raita, Mutton Biryani, Vegetable Biryani, Butter Chicken, Basmati Rice","Biryani, North Indian, Chinese",550.0,Dine-out
"7, DSR Galleria, Opp Kalyani Motors, Bilekahalli Gate, Bannerghatta Road, Bangalore",Seasons,Yes,Yes,3.8,500.0,"+91 7411898898
+91 7411798798",Bannerghatta Road,Casual Dining,"Biryani, Sea Food, Egg Masala, Barbeque Chicken, Fish Grill, Appam, Raita","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices",1000.0,Dine-out
"500, 2nd Floor, 2nd Block, 6th Stage, Near Sai Baba Temple, Arekere, Bannerghatta Road, Bangalore",Simply Indian,Yes,Yes,3.9,681.0,"+91 7022001251
+91 7022001252",Bannerghatta Road,Casual Dining,"Cocktails, Ghee Roast Mutton, Mocktails, Chicken Biryani, Malai Kofta, Chicken Chatpata, Fish","North Indian, Chinese, Seafood, Biryani, Mangalorean",800.0,Dine-out
"5, 17th Main, 5th Cross, Behind Vijaya Enclave, Kodichickenahalli Road, Vijaya Bank Layout, Billekahalli, Bannerghatta Road, Bangalore",Dande's Hyderabad Biryani,Yes,No,3.8,207.0,080 41454647,Bannerghatta Road,Casual Dining,"Chicken Boneless Biryani, Lemon Chicken, Dum Biryani","Biryani, Andhra, North Indian",700.0,Dine-out
"3, Arakere Gate, Bannerghatta Road, Bangalore",Chung Wah,Yes,No,4.0,532.0,"080 41215557
080 41215333",Bannerghatta Road,Casual Dining,"Chicken Chowmein, Chicken Manchow Soup, Clear Soup, Momos, Fried Noodles, Chop Suey, Spring Roll","Chinese, Thai, Momos, Vietnamese",800.0,Dine-out
"1035, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Shanghai Court,Yes,No,4.2,421.0,080 42086199,Bannerghatta Road,Casual Dining,"Chicken Manchow Soup, Hunan Chicken, Pad Thai, Singapore Noodles, Dragon Rolls, Momos, Thai Red Curry","Chinese, Thai",700.0,Dine-out
"13, Opposite Auchan Hyper Market, Bannerghatta Road, Bangalore",Chicken County Grand,Yes,No,3.9,319.0,"080 26533377
080 26533378",Bannerghatta Road,Casual Dining,"Chicken Grill, Fish, Shawarma, Rolls, Tandoori Chicken, Hyderabadi Chicken, Chicken Roll","North Indian, Chinese",650.0,Dine-out
"15/1, Opposite Shopper's Stop, Bannerghatta Road, Bangalore",Punjabi Times,Yes,Yes,4.1,1025.0,080 49652597,Bannerghatta Road,Casual Dining,"Chicken Tikka, Kheer, Butter Chicken, Dal Makhani, Makke Ki Roti, Lassi, Paratha",North Indian,1000.0,Dine-out
"9/10/9/1, Hulimavu Begur Road, 80 Ft Road, Near DLF Township, Bannerghatta Road, Bangalore",Elegant Dining,Yes,Yes,3.6,225.0,"+91 9900900063
+91 9916087820",Bannerghatta Road,Casual Dining,"Chicken Tikka, Chicken Biryani, Roti, Naan, Panneer Butter Masala","Biryani, North Indian, Chinese",700.0,Dine-out
"1, Pai Layout, Hulimavu Gate Main Road, Off Bannerghatta Road, Bangalore.",Cafe Kabana,No,Yes,4.0,200.0,"+91 8884044348
+91 8762989999",Bannerghatta Road,Cafe,"Mocktails, Peri Peri Chicken Pizza, Wings, Pasta, English Breakfast, Fries, Jalapeno Cheeseballs","Cafe, Continental",700.0,Dine-out
"7, 2nd Floor, Krish Towers, Arekere Signal, Bannerghatta Road, Bangalore",Dadi's Dum Biryani,Yes,Yes,4.0,739.0,"+91 7090377777
080 43716050",Bannerghatta Road,Casual Dining,"Chicken Biryani, Basmati Rice, Prawn, Tandoori Chicken, Vegetable Biryani, Galauti Kebab, Faluda","Biryani, North Indian, Mughlai",800.0,Dine-out
"Opposite DLF New Town, Akshayanagar, Hulimavu Road, Bannerghatta Road, Bangalore",Veruthe Oru Thattukada,No,No,3.8,149.0,"+91 9986664242
+91 9986668181",Bannerghatta Road,Casual Dining,"Kadala Curry, Egg Roast, Beef Fry, Fish Fry, Chicken Curry, Fish Curry, Malabari Biryani","Kerala, South Indian",400.0,Dine-out
"7, Doddakammanahalli Main Road, Central Excise Layout, Phase 2, Bannerghatta Road, Bangalore",Butterly,Yes,No,3.9,102.0,+91 7338636363,Bannerghatta Road,Cafe,"Burgers, Sandwiches, Pizza, French Fries, Cheesecake","Cafe, Bakery, Beverages",450.0,Dine-out
"176, 1st Floor, Above Vodafone Store, Opposite Brand Factory, Bannerghatta Road, Bangalore",Kundana,Yes,No,3.7,110.0,080 49652729,Bannerghatta Road,Casual Dining,"Lemon Chicken, Chicken Dum Biryani, Mutton Biryani","Andhra, Biryani",800.0,Dine-out
"1-2, Near Bhaganagar Bus Stop, Shankarnaga Road, Bhaganagar Layout, Gottigere, Bannerghatta Road, Bangalore",Black Mug Cafe,Yes,No,3.7,171.0,"+91 9845561119
+91 8095257151",Bannerghatta Road,Cafe,Coffee,Cafe,300.0,Dine-out
"7, Ground Floor, RR Commercial Complex, Akshay Nagar, Bannerghatta Road, Bangalore",#refuel,Yes,No,3.7,37.0,+91 8971227222,Bannerghatta Road,Cafe,"Thick Shakes, Sandwiches, Pasta, Mocktails","Cafe, Beverages",400.0,Dine-out
"10, Near Maruti Sagar Automobiles, Bhavani Layout, Bannerghatta Road, Bangalore",Savoury - Sea Shell Restaurant,Yes,Yes,3.9,1227.0,"080 49994999
080 65555988",Bannerghatta Road,Casual Dining,"Shawarma, Biryani, Chicken Grill, Rolls, Tomato Soup, Haleem, Sea Food","Arabian, North Indian, Chinese, Seafood, Biryani, Rolls, Beverages",900.0,Dine-out
 but then a place like Vaho Kafe turns up and proves such thoughts wrong. Vaho Kafe believes in placing on your table food that is healthy, of top notch quality and great taste. This place might be a hard to locate the first time. It is right in front of IIM Bangalore, next to Big Bazaar, on the second floor. ...\nRead full post on purnisfoodblog.wordpress.com'),,, food was really tasty," however delay and eating at 1am just could not make it good experience."""")", ('Rated 1.0', 'RATED\n  Worst food ever...they gave me stale cake and rotten carrot halwa delivered home ,please do not order anything from here . I had to throw both the desserts aways.'),, and the weekday or weekend combos if you want to chill and enjoy their food. ItÃƒÂƒ\x83ÃƒÂ‚\x83ÃƒÂƒ\x82ÃƒÂ‚\x82ÃƒÂƒ\x83ÃƒÂ‚\x82ÃƒÂƒ\x82ÃƒÂ‚\x92s simple
 ('Rated 3.0', 'RATED\n  Tandoori is good.. Biryani OK compared to cost..'), ('Rated 4.0', 'RATED\n  noo'),,, ('Rated 2.0', 'RATED\n  not satisfied'), ('Rated 1.0', 'RATED\n  got the wrong food.'), ('Rated 3.0',, ('Rated 1.0'
"128/54/10, Ground Floor, Opposite IIM - B, above A2B Dasarapalya, Bannerghatta Road, Bangalore",Dreamcatcher,Yes,No,3.9,49.0,"+91 7090470823
+91 7996623818",Bannerghatta Road,Cafe,"English Breakfast, Sandwiches",Cafe,600.0,Dine-out
"97/2, Gottigere, Bannerghatta Road, Bangalore",Guru Greens,No,No,3.8,89.0,"+91 9845055553
+91 9845955556",Bannerghatta Road,Casual Dining,"Tandoori Chicken, Beer, Pepper Chicken, French Chicken","North Indian, Chinese",550.0,Dine-out
"154, Opposite HSBC Bank, Bilekahalli, Bannerghatta Road, Bangalore",A2B - Adyar Ananda Bhavan,Yes,No,2.7,425.0,18001036363,Bannerghatta Road,Casual Dining,"Filter Coffee, Chilli Babycorn, Pav Bhaji, Pongal, Paneer Tikka, Onion Rava Dosa, Chaat","South Indian, North Indian, Chinese, Street Food",400.0,Dine-out
"16, Survey Number 13, Omkar Nagar, Arekere, Bannerghatta Road, Bangalore",Malhar Maharashtrian Cuisine,Yes,No,4.0,101.0,+91 9880082094,Bannerghatta Road,Casual Dining,"Brinjal Curry, Misal Pav, Chicken Thali, Chicken Kolhapuri, Sabudana Vada, Veg Thali",Maharashtrian,500.0,Dine-out
"633/B555, Panduranga Nagar, Near Arekere Gate, Bannerghatta Road, Bangalore",Hyderabadi Bawarchi,Yes,No,3.2,133.0,"+91 7829488222
+91 7829588222",Bannerghatta Road,Casual Dining,"Raita, Vegetable Biryani, Hyderabadi Biryani, Chicken Curry, Chicken Biryani","North Indian, Chinese, Biryani",500.0,Dine-out
"31, 1st Floor, RR Images, Panduranga Nagar, Near Arakere, Bannerghatta Road, Bangalore",Beijing Bites,No,No,2.7,160.0,"080 41463677
080 41463877",Bannerghatta Road,Casual Dining,Chop Suey,"Chinese, Thai",850.0,Dine-out
"1065/A, 5th Cross, 13th Main, Vijaya Bank Layout, Bannerghatta Road, Bangalore",Sri Bhagya Grand,Yes,No,3.4,186.0,+91 9035066066,Bannerghatta Road,Casual Dining,"Pav Bhaji, Tea, Tandoori Roti, Coffee, Malai Kofta, Vada, Curd Rice","South Indian, North Indian, Chinese, Street Food, Beverages",450.0,Dine-out
"4, 1st Cross, Christ School Road, Bhavani Layout, Bannerghatta Road, Bangalore",Cafe Arabica,No,No,3.8,69.0,"080 64442444
+91 8050042444",Bannerghatta Road,"Cafe, Bakery","Coffee, French Fries, Lemon Tea, Veg Sandwich","Cafe, Bakery",700.0,Dine-out
"54/55, 3rd Cross, Omkar Nagar, Arekere Gate, Bannerghatta Road, Bangalore",Drunken Monkey,Yes,No,4.4,288.0,"+91 8618471544
+91 9148489793",Bannerghatta Road,"Beverage Shop, Quick Bites","Chicken Tikka Sandwich, Hot Chocolate Brownie, Red Velvet Shake, Chicken Sandwiches, French Fries, Cheese Sandwich, Irish Cream Coffee","Beverages, Fast Food",400.0,Dine-out
"21, Ground Floor, B.H.C.S.L Layout, Stage 2, Bannerghatta Road, Bangalore",Marwa Restaurant,Yes,Yes,3.5,551.0,080 49653014,Bannerghatta Road,Casual Dining,"Kalmi Kabab, Gulab Jamun, Chicken Grill, Shawarma Roll, Vegetarian, Barbeque Chicken, Dal Fry","North Indian, Chinese, Fast Food, BBQ",600.0,Dine-out
